ID1,ID2,EdgeType,Score,Annotation
5438,5447,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9560
5438,5457,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
5438,5447,MS1 annotation,3.000,[M+K]+ [2M+2H]+2 dm/z=37.9560
5447,5457,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9740
5458,5548,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9293
5458,5532,MS1 annotation,3.000,[2M+2H]+2 [M+K]+ dm/z=37.9558
5532,5548,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
5532,5548,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
5569,5586,MS1 annotation,5.000,[M+H]+ [M+K]+ dm/z=37.9558
5578,5586,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=376.0764
5586,5587,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9818
5609,5610,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0267
5642,5731,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9923
5680,5681,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9296
5684,5764,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9291
5684,5727,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
5699,5700,MS1 annotation,2.000,[M+K]+ [M+H]+ dm/z=37.9557
5794,5882,MS1 annotation,2.000,[M-3H2O+H]+ [M+Na]+ dm/z=76.0159
5845,6499,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9741
5853,5868,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9274
5858,5859,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9746
5873,5874,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9738
5937,5938,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9817
5961,6050,MS1 annotation,5.000,[2M+Na]+ [M+K]+ dm/z=326.1228
5961,6303,MS1 annotation,5.000,[M+H]+ [M+K]+ dm/z=37.9568
5983,5984,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
5983,5984,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
6027,6058,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9542
6238,6493,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9556
6238,6345,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9665
6238,6269,MS1 annotation,4.000,[M-2H2O+H]+ [M+K]+ dm/z=73.9770
6280,6290,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
6280,6290,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
6300,6346,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9823
6317,6363,MS1 annotation,5.000,[M+K]+ [M+H]+ dm/z=37.9559
6317,6318,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0267
6318,6363,MS1 annotation,5.000,[M+K]+ [M+NH4]+ dm/z=20.9292
6455,6477,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
6456,6471,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
6563,6718,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
6664,6684,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9948
6672,6716,MS1 annotation,8.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0032
6672,6744,MS1 annotation,8.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9926
6672,6690,MS1 annotation,8.000,[M+K]+ [M+Na]+ dm/z=15.9739
6672,6715,MS1 annotation,8.000,[M-3H2O+H]+ [M+Na]+ dm/z=76.0158
6690,6745,MS1 annotation,8.000,[2M+Na]+ [M+K]+ dm/z=228.1208
6716,6754,MS1 annotation,8.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0479
6744,6754,MS1 annotation,8.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
6744,6745,MS1 annotation,8.000,[2M+Na]+ [M-H2O+H]+ dm/z=284.0872
6745,6792,MS1 annotation,8.000,[M-H2O+NH4]+ [2M+Na]+ dm/z=267.0606
6745,6754,MS1 annotation,8.000,[M+NH4]+ [2M+Na]+ dm/z=249.0499
6794,6809,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9296
6818,6910,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9735
6830,6837,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9741
6936,7006,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
6936,6976,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0268
6952,7055,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9286
6976,7006,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
7009,7011,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
7038,7115,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9547
7038,7042,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9287
7099,7119,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9555
7099,7110,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
7110,7119,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9736
7159,7160,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9744
7217,7264,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9739
7226,7371,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+H]+ dm/z=50.0518
7246,7259,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9825
7246,7259,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9825
7263,7264,MS1 annotation,4.000,[M+Na]+ [M-H2O+NH4]+ dm/z=22.9660
7366,7463,MS1 annotation,2.000,[2M+H]+ [M+ACN+Na]+ dm/z=50.0369
7375,7378,MS1 annotation,4.000,[2M+ACN+H]+ [M+NH4]+ dm/z=215.0403
7375,7379,MS1 annotation,4.000,[2M+ACN+H]+ [M+NH4]+ dm/z=215.0537
7375,7439,MS1 annotation,4.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
7385,7386,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
7389,7441,MS1 annotation,2.000,[2M+H]+ [M-3H2O+NH4]+ dm/z=240.0834
7402,7431,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
7510,7571,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9743
7568,7577,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9563
7622,8034,MS1 annotation,3.000,[M-H2O+Na]+ [2M+K]+ dm/z=192.0638
7658,7659,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9743
7658,7940,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
7715,7716,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
7715,7720,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9557
7715,7716,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9817
7715,7720,MS1 annotation,3.000,[M+K]+ [2M+2H]+2 dm/z=37.9557
7766,7844,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
7804,7870,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
7855,8014,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
7855,7866,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0373
7889,8129,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9739
7947,7948,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
7969,7974,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
7980,7985,MS1 annotation,2.000,[M+Na]+ [2M-3H2O+H]+ dm/z=26.0155
7993,8020,MS1 annotation,5.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0030
7993,8002,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0475
7994,8020,MS1 annotation,5.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9926
7994,8002,MS1 annotation,5.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
8000,8020,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9819
8000,8002,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0264
8002,8020,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
8004,8005,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9739
8046,8047,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
8049,8051,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9817
