ID1,ID2,EdgeType,Score,Annotation
4891,4897,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9736
4925,4939,MS1 annotation,5.000,[M+H]+ [2M+NH4]+ dm/z=371.1222
4926,4939,MS1 annotation,5.000,[M+H]+ [M+K]+ dm/z=37.9561
4926,4970,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9740
4932,4939,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0269
4939,4970,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9821
4979,4980,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
4979,4980,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
5022,5037,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
5064,5070,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9292
5154,5156,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9739
5154,5157,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
5156,5157,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9293
5159,5178,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
5163,5164,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9817
5163,5164,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9817
5224,5229,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
5263,5287,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0263
5263,5287,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0263
5286,5293,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
5291,5301,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
5303,5325,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9741
5303,5309,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9823
5349,5355,MS1 annotation,3.000,[M+H]+ [M+K]+ dm/z=37.9557
5350,5355,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9817
5382,5391,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9815
5458,5459,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
5483,5484,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
5483,5484,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
5491,5506,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
5491,5495,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
5495,5506,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
5535,5567,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
5550,5571,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9741
5550,5576,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9294
5571,5576,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
5607,5624,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
5608,5624,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9290
5609,5615,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
5609,5610,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9735
5610,5615,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9295
5626,5647,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
