CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1800	3229	5	0.9659	-162.052
1951	2198	5	0.8706	-17.027
2067	7258	5	0.9335	30.011
2060	5290	5	0.9114	294.056
1965	4222	5	0.9474	0.001
2067	2300	5	0.8799	5.028
3176	6343	5	0.8663	17.027
757	1800	5	0.8689	2.016
1951	4222	5	0.8879	50.038
1127	2198	5	0.8807	-16.992
1127	2511	5	0.849	49.998
1411	3926	5	0.8416	144.038
564	3224	5	0.8684	-294.094
2300	5290	5	0.8953	156.988
1127	1951	5	0.9615	0.034
5290	7013	5	0.8247	65.087
1440	2306	5	0.9615	17.027
5290	7258	5	0.9115	-132.004
3118	3447	5	0.836	15.994
2023	2235	5	0.8322	-197.088
7013	7268	5	0.849	-162.053
3118	5107	5	0.9054	-393.164
2300	7013	5	0.8339	222.075
1965	3926	5	0.8913	-18.010
2300	4309	5	0.917	174.054
4309	7258	5	0.863	-149.071
1950	2023	5	0.8265	35.035
2198	4510	5	0.8571	-0.036
2236	4309	5	0.9534	17.027
2236	5290	5	0.9803	-0.039
1260	3221	5	0.836	-162.054
5590	7013	5	0.8667	60.021
2511	4222	5	0.9145	0.074
564	3228	5	0.9635	-161.995
1127	3121	5	0.8941	50.073
3229	3447	5	0.9508	179.078
2109	3224	5	0.8883	-132.041
2236	5590	5	0.9176	5.027
2060	4309	5	0.8599	311.122
1411	3105	5	0.8575	126.028
757	3149	5	0.9702	-145.027
1440	2236	5	0.9142	132.043
2198	2293	5	0.8706	17.002
4418	4702	5	0.821	114.031
3221	3229	5	0.8396	26.017
1961	6997	5	0.9023	-227.068
2511	3105	5	0.8425	-35.948
3224	4196	5	0.8561	294.131
2238	3229	5	0.8829	2.016
2236	7258	5	0.9125	-132.044
2238	3221	5	0.8374	-24.001
2067	2238	5	0.8586	-13.977
564	2109	5	0.958	-162.053
1800	2012	5	0.8697	-15.995
2511	5594	5	0.8404	0.073
3121	3230	5	0.835	25.978
1127	3105	5	0.9318	14.050
676	2125	5	0.8226	341.127
2198	2235	5	0.8708	-324.105
2109	2273	5	0.8485	30.011
1127	1525	5	0.8254	14.014
1965	3105	5	0.9115	-36.021
4222	5594	5	0.8701	-0.001
4418	7013	5	0.8301	144.041
2109	4196	5	0.9376	162.090
1951	3105	5	0.9433	14.016
564	4196	5	0.944	0.037
1961	2012	5	0.8318	132.043
2300	5590	5	0.9354	162.053
2012	3118	5	0.9644	17.026
2067	5590	5	0.8875	167.081
2293	4222	5	0.8813	50.062
1440	4309	5	0.8506	149.070
2238	3264	5	0.8531	-26.019
2109	3228	5	0.9756	0.057
3105	3926	5	0.9558	18.010
3224	3228	5	0.897	132.098
2273	3228	5	0.8545	-29.954
1965	2511	5	0.9122	-0.073
2306	4309	5	0.8809	132.043
1951	3926	5	0.9064	32.026
1127	3926	5	0.9085	32.060
1800	3447	5	0.952	17.026
1951	1965	5	0.8879	50.037
1950	2235	5	0.9404	-162.054
2293	2511	5	0.8516	49.988
3230	4222	5	0.8292	-25.978
1965	2293	5	0.8891	-50.061
5264	6997	5	0.8956	-197.058
2273	3224	5	0.8573	-162.052
2012	5107	5	0.9312	-376.137
4702	5590	5	0.8474	-30.011
757	2012	5	0.8242	-13.979
757	2238	5	0.9776	-162.052
2236	2306	5	0.927	-115.016
2060	3224	5	0.8511	-26.014
2010	2235	5	0.9338	228.101
1950	2198	5	0.941	162.051
1950	2010	5	0.9652	-390.154
2067	2306	5	0.938	47.039
3228	4196	5	0.9391	162.032
1440	7258	5	0.923	-0.000
2300	2306	5	0.8396	42.011
1440	2067	5	0.9222	-30.011
3105	4222	5	0.8951	36.022
1950	4510	5	0.8366	162.015
3105	3118	5	0.8437	-162.053
1961	5264	5	0.927	-30.011
2511	3121	5	0.9019	0.075
2306	5590	5	0.8352	120.042
